country,year,food_supply,region,lifeexpband
Kazakhstan,1963,,Europe & Central Asia,M
Kenya,1963,2140.0,Sub-Saharan Africa,M
Kiribati,1963,2520.0,East Asia & Pacific,L
Kuwait,1963,2440.0,Middle East & North Africa,H
Kyrgyz Republic,1963,,Europe & Central Asia,M
Lao,1963,1950.0,,M
Latvia,1963,,Europe & Central Asia,H
Lebanon,1963,2430.0,Middle East & North Africa,H
Lesotho,1963,2080.0,Sub-Saharan Africa,L
Liberia,1963,2150.0,Sub-Saharan Africa,L
Lithuania,1963,,Europe & Central Asia,H
Luxembourg,1963,,Europe & Central Asia,H
"Macedonia, FYR",1963,,Europe & Central Asia,H
Madagascar,1963,2460.0,Sub-Saharan Africa,L
Malawi,1963,2110.0,Sub-Saharan Africa,L
Malaysia,1963,2450.0,East Asia & Pacific,H
Maldives,1963,1570.0,South Asia,H
Mali,1963,1770.0,Sub-Saharan Africa,L
Malta,1963,2930.0,Middle East & North Africa,H
Mauritania,1963,2190.0,Sub-Saharan Africa,M
Mauritius,1963,2370.0,Sub-Saharan Africa,H
Mexico,1963,2300.0,Latin America & Caribbean,H
Moldova,1963,,Europe & Central Asia,M
Mongolia,1963,2040.0,East Asia & Pacific,M
Montenegro,1963,,Europe & Central Asia,H
Morocco,1963,2070.0,Middle East & North Africa,H
Mozambique,1963,1810.0,Sub-Saharan Africa,L
Myanmar,1963,1530.0,East Asia & Pacific,M
Namibia,1963,2250.0,Sub-Saharan Africa,L
Nepal,1963,1760.0,South Asia,M
Netherlands,1963,3050.0,Europe & Central Asia,H
New Zealand,1963,2950.0,East Asia & Pacific,H
Nicaragua,1963,1960.0,Latin America & Caribbean,H
Niger,1963,1640.0,Sub-Saharan Africa,L
Nigeria,1963,1980.0,Sub-Saharan Africa,L
North Korea,1963,2020.0,East Asia & Pacific,M
Norway,1963,2800.0,Europe & Central Asia,H
Oman,1963,,Middle East & North Africa,H
Pakistan,1963,1970.0,South Asia,M
Panama,1963,2150.0,Latin America & Caribbean,H
Paraguay,1963,2150.0,Latin America & Caribbean,H
Peru,1963,1980.0,Latin America & Caribbean,H
Philippines,1963,1800.0,East Asia & Pacific,M
Poland,1963,3290.0,Europe & Central Asia,H
Portugal,1963,2680.0,Europe & Central Asia,H
Romania,1963,2910.0,Europe & Central Asia,H
Russia,1963,,Europe & Central Asia,M
Rwanda,1963,1880.0,Sub-Saharan Africa,M
Samoa,1963,1970.0,East Asia & Pacific,M
Sao Tome and Principe,1963,2230.0,,M
Saudi Arabia,1963,1790.0,Middle East & North Africa,H
Senegal,1963,2630.0,Sub-Saharan Africa,M
Serbia,1963,,Europe & Central Asia,H
Sierra Leone,1963,1970.0,Sub-Saharan Africa,L
Slovak Republic,1963,,Europe & Central Asia,H
Slovenia,1963,,Europe & Central Asia,H
Solomon Islands,1963,2200.0,East Asia & Pacific,L
South Africa,1963,2730.0,Sub-Saharan Africa,L
South Korea,1963,2210.0,East Asia & Pacific,H
Spain,1963,2700.0,Europe & Central Asia,H
Sri Lanka,1963,2140.0,South Asia,H
St. Kitts and Nevis,1963,1820.0,Latin America & Caribbean,
St. Lucia,1963,1700.0,Latin America & Caribbean,H
St. Vincent and the Grenadines,1963,1860.0,Latin America & Caribbean,M
Sudan,1963,1730.0,Sub-Saharan Africa,M
Suriname,1963,1980.0,Latin America & Caribbean,M
Swaziland,1963,2130.0,Sub-Saharan Africa,L
Sweden,1963,2810.0,Europe & Central Asia,H
Switzerland,1963,3410.0,Europe & Central Asia,H
Tajikistan,1963,,Europe & Central Asia,M
Tanzania,1963,1780.0,Sub-Saharan Africa,L
Thailand,1963,2170.0,East Asia & Pacific,H
Timor-Leste,1963,1690.0,East Asia & Pacific,M
Togo,1963,2140.0,Sub-Saharan Africa,L
Trinidad and Tobago,1963,2370.0,Latin America & Caribbean,H
Tunisia,1963,2340.0,Middle East & North Africa,H
Turkey,1963,3010.0,Europe & Central Asia,H
Turkmenistan,1963,,Europe & Central Asia,M
Uganda,1963,2300.0,Sub-Saharan Africa,L
Ukraine,1963,,Europe & Central Asia,M
United Arab Emirates,1963,2740.0,Middle East & North Africa,H
United Kingdom,1963,3230.0,Europe & Central Asia,H
United States,1963,2860.0,North America,H
Uruguay,1963,2770.0,Latin America & Caribbean,H
Uzbekistan,1963,,Europe & Central Asia,M
Vanuatu,1963,2540.0,East Asia & Pacific,L
Venezuela,1963,2110.0,Latin America & Caribbean,H
Vietnam,1963,1960.0,East Asia & Pacific,H
Yemen,1963,1820.0,Middle East & North Africa,M
Zambia,1963,2110.0,Sub-Saharan Africa,L
Zimbabwe,1963,2150.0,Sub-Saharan Africa,L
Afghanistan,1964,2950.0,South Asia,L
Albania,1964,2270.0,Europe & Central Asia,H
Algeria,1964,1540.0,Middle East & North Africa,H
Angola,1964,1860.0,Sub-Saharan Africa,L
Antigua and Barbuda,1964,2130.0,Latin America & Caribbean,H
Argentina,1964,3080.0,Latin America & Caribbean,H
Armenia,1964,,Europe & Central Asia,H
Australia,1964,3150.0,East Asia & Pacific,H
Austria,1964,3270.0,Europe & Central Asia,H
Azerbaijan,1964,,Europe & Central Asia,M
Bahamas,1964,2430.0,,H
Bangladesh,1964,2160.0,South Asia,M
Barbados,1964,2610.0,Latin America & Caribbean,H
Belarus,1964,,Europe & Central Asia,H
Belgium,1964,,Europe & Central Asia,H
Belize,1964,2270.0,Latin America & Caribbean,M
Benin,1964,1670.0,Sub-Saharan Africa,L
Bolivia,1964,1740.0,Latin America & Caribbean,M
Bosnia and Herzegovina,1964,,Europe & Central Asia,H
Botswana,1964,2000.0,Sub-Saharan Africa,L
Brazil,1964,2310.0,Latin America & Caribbean,H
Brunei,1964,2000.0,East Asia & Pacific,H
Bulgaria,1964,3330.0,Europe & Central Asia,H
Burkina Faso,1964,1560.0,Sub-Saharan Africa,L
Cambodia,1964,1920.0,East Asia & Pacific,M
Cameroon,1964,2070.0,Sub-Saharan Africa,L
Canada,1964,2800.0,North America,H
Cape Verde,1964,1600.0,,H
Central African Republic,1964,2110.0,Sub-Saharan Africa,L
Chad,1964,2330.0,Sub-Saharan Africa,L
Chile,1964,2580.0,Latin America & Caribbean,H
China,1964,1670.0,East Asia & Pacific,H
Colombia,1964,2140.0,Latin America & Caribbean,H
"Congo, Rep.",1964,2130.0,Sub-Saharan Africa,L
Costa Rica,1964,2110.0,Latin America & Caribbean,H
Cote d'Ivoire,1964,2560.0,,L
Croatia,1964,,Europe & Central Asia,H
Cuba,1964,2330.0,Latin America & Caribbean,H
Cyprus,1964,2600.0,Europe & Central Asia,H
Czech Republic,1964,,Europe & Central Asia,H
Denmark,1964,3110.0,Europe & Central Asia,H
Djibouti,1964,1570.0,Middle East & North Africa,M
Dominica,1964,1840.0,Latin America & Caribbean,M
Dominican Republic,1964,1860.0,Latin America & Caribbean,H
Ecuador,1964,2060.0,Latin America & Caribbean,H
Egypt,1964,2200.0,Middle East & North Africa,M
El Salvador,1964,1630.0,Latin America & Caribbean,H
